Fichier,Nombre de lignes de code,Densité de commentaires,Nombre de fonctions,Couplage Élevé,Méthode Longue,Spaghetti Code,Message Chains,Large Class
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\FileBrowser$Task.class,117,0.0,0,0,1,0,130,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\FileBrowser.class,229,0.0,0,0,1,0,266,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\FileInfo$SortOrder.class,37,0.0,0,0,1,0,57,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\FileInfo.class,106,0.0,0,0,1,0,296,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\FindNextDlg.class,100,0.0,0,0,1,0,114,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\History$ImageData.class,45,0.0,0,0,1,0,57,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\History$ImageDataCache.class,31,0.0,0,0,1,0,79,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\History.class,81,0.0,0,0,1,0,183,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\OptionsDialog$ActionOption.class,106,0.0,0,0,1,0,113,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\OptionsDialog$BoolOption.class,128,0.0,0,0,1,0,157,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\OptionsDialog$ColorOption.class,121,0.0,0,0,1,0,145,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\OptionsDialog$HyphenationOptions.class,106,0.0,0,0,1,0,112,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\OptionsDialog$KeyMapOption.class,118,0.0,0,0,1,0,134,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\OptionsDialog$ListOption.class,170,0.0,0,0,1,0,199,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\OptionsDialog$NightModeOption.class,109,0.0,0,0,1,0,120,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\OptionsDialog$OptionBase.class,132,0.0,0,0,1,0,172,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\OptionsDialog$OptionsListView.class,119,0.0,0,0,1,0,134,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\OptionsDialog$Pair.class,109,0.0,0,0,1,0,118,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\OptionsDialog$StatusBarOption.class,114,0.0,0,0,1,0,128,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\OptionsDialog$TapZoneOption.class,123,0.0,0,0,1,0,144,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\OptionsDialog$TextureOptions.class,117,0.0,0,0,1,0,133,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\OptionsDialog$ThumbnailCache$Item.class,111,0.0,0,0,1,0,123,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\OptionsDialog$ThumbnailCache.class,122,0.0,0,0,1,0,145,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\OptionsDialog.class,146,0.0,0,0,1,0,186,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\PositionProperties.class,14,0.0,0,0,0,0,59,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ProgressDialog.class,197,0.0,0,0,1,0,236,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\Properties.class,73,0.0,0,0,1,0,175,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderAction.class,85,0.0,0,0,1,0,110,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderCallback.class,11,0.0,0,0,0,0,16,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderView$AnimationType.class,110,0.0,0,0,1,0,120,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderView$BitmapFactory.class,120,0.0,0,0,1,0,139,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ReaderView$BitmapInfo.class,118,0.0,0,0,1,0,131,1
