Fichier,Nombre de lignes de code,Densité de commentaires,Nombre de fonctions,Couplage Élevé,Méthode Longue,Spaghetti Code,Message Chains,Large Class
C:/Users/norhe/pfaa\CoolReader\cr3gui\src\logoconv.cpp,34,0.0294117647058823,0,0,1,0,35,0
C:/Users/norhe/pfaa\Find-Job\app\src\main\res\font\mo_re.ttf,1870,0.0032085561497326,0,0,1,1,5546,1
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v3\skins\white\cr3_wait_icon.png,31,0.0,0,0,1,0,127,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\OptionsDialog$OptionsListView.class,119,0.0,0,0,1,0,134,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\FindNextDlg.class,100,0.0,0,0,1,0,114,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\antiword\Win32-only\antiword.ico,1,0.0,0,0,0,0,120,0
C:/Users/norhe/pfaa\Find-Job\.git\description,0,0.0,0,0,0,0,0,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\antiword\Resources\8859-10.txt,302,0.152317880794702,0,0,1,0,303,1
C:/Users/norhe/pfaa\CoolReader\crengine\src\s32utils.cpp,56,0.125,1,0,1,0,58,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\OptionsDialog$ThumbnailCache$Item.class,111,0.0,0,0,1,0,123,1
C:/Users/norhe/pfaa\CoolReader\cr3qt\src\i18n\cr3_de.ts,1339,0.0,0,0,1,1,1340,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\Bookmark.class,25,0.0,0,0,1,0,103,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ColorPickerDialog.class,129,0.0,0,0,1,0,170,1
C:/Users/norhe/pfaa\JavaDesktopSudoku\.git\hooks\fsmonitor-watchman.sample,142,0.2957746478873239,0,0,1,0,143,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\n516\skins\default\scroll_slider_vertical.png,5,0.0,0,0,0,0,12,0
C:/Users/norhe/pfaa\CoolReader\cr3qt\src\wolexportdlg.h,24,0.125,1,0,1,0,26,0
C:/Users/norhe/pfaa\Find-Job\.git\hooks\applypatch-msg.sample,13,0.6923076923076923,0,0,0,0,14,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\libjpeg\makefile.dj,195,0.1435897435897435,0,0,1,0,196,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\include\freetype\fterrdef.h,208,0.0,0,0,1,0,209,1
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v3a\skins\default\cr-white.png,4,0.0,0,0,0,0,8,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\INSTALL,128,0.0,0,0,1,0,129,1
C:/Users/norhe/pfaa\CoolReader\cr3qt\src\exportprogressdlg.ui,34,0.0,0,0,1,0,35,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\manual\cr3-manual-uk.fb2,220,0.0,0,0,1,0,262,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\antiword\Makefile.lcc-win32,500,0.096,0,0,1,0,501,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\pfr\Jamfile,23,0.4347826086956521,0,0,0,0,24,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\lzw\ftzopen.c,303,0.0165016501650165,0,0,1,0,304,1
C:/Users/norhe/pfaa\CoolReader\crengine\Tools\FontConv\LFntConv.dsw,29,0.1724137931034483,0,0,1,0,30,0
C:/Users/norhe/pfaa\CoolReader\cr3wx\src\resource.h,25,0.8,0,0,0,0,28,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\base\ftrfork.c,631,0.0142630744849445,2,0,1,0,635,1
C:/Users/norhe/pfaa\CoolReader\android\res\values\strings.xml,150,0.0,0,0,1,0,151,1
C:/Users/norhe/pfaa\CoolReader\cr3gui\src\cr3_def_cover.png,0,0.0,0,0,0,0,0,0
C:/Users/norhe/pfaa\CoolReader\cr3qt\src\icons\contents.png,17,0.0,0,0,0,0,96,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v3\skins\default\cr3_wait_icon.png,31,0.0,0,0,1,0,127,0
C:/Users/norhe/pfaa\CoolReader\crengine\lib\projects\vc6\crengine.dsp,473,0.6300211416490487,0,0,1,0,474,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\docs\reference\ft2-sfnt_names.html,167,0.0,0,0,1,0,168,1
C:/Users/norhe/pfaa\Find-Job\app\src\main\res\layout\activity_emp.xml,78,0.0,0,0,1,0,79,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\base\ftcid.c,45,0.0666666666666666,0,0,1,0,46,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\antiword\Resources\cp1250.txt,273,0.0622710622710622,0,0,1,0,274,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\docs\reference\ft2-lcd_filtering.html,129,0.0,0,0,1,0,130,1
C:/Users/norhe/pfaa\CoolReader\crengine\LICENSE,292,0.0,0,0,1,0,293,1
C:/Users/norhe/pfaa\CoolReader\android\jni\.project,74,0.0,0,0,1,0,75,0
